FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS
COR_PLZ_MAIN_W_F0,COR_MAIN_N_S,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:20:46.515Z,ACTIVE
COR_PLZ_MAIN_W_F0,COR_PLZ_MAIN_E_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:20:55.552Z,ACTIVE
COR_PLZ_MAIN_W_F0,COR_PLZ_MAIN_N_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:29:26.845Z,ACTIVE
COR_PLZ_MAIN_W_F0,COR_PLZ_STAGE_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:29:18.186Z,ACTIVE
COR_PLZ_MAIN_W_F0,INFO_MAIN_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:18.999Z,ACTIVE
COR_PLZ_MAIN_W_F0,NODE_DOOR_FIRST_AID_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:18.999Z,ACTIVE
COR_PLZ_MAIN_W_M1,COR_PLZ_MAIN_N_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:23:49.007Z,ACTIVE
COR_PLZ_MAIN_W_M2,COR_PLZ_MAIN_W_M1,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:23:38.223Z,ACTIVE
COR_PLZ_MAIN_W_M3,COR_PLZ_MAIN_W_M2,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:23:28.231Z,ACTIVE
COR_PLZ_N_E_F0,COR_MAIN_N1_N,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:15:12.271Z,ACTIVE
COR_PLZ_N_E_F0,COR_PLZ_N_S_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:13:22.098Z,ACTIVE
COR_PLZ_N_N_F0,ATM1_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:14:32.359Z,ACTIVE
COR_PLZ_N_N_F0,COR_PLZ_N_E_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:13:41.647Z,ACTIVE
COR_PLZ_N_N_F0,COR_PLZ_N_W_F0,WALK,Verdadero,Verdadero,Verdadero,Verdadero,2026-02-25T21:13:57.559Z,ACTIVE
