FROM,TO,MODE,BIDIRECTIONAL,WHEELCHAIR,STROLLER,LUGGAGE,CREATED,STATUS,,,,,,,
COR_PLZ_MAIN_S_F0,COR_PLZ_MAIN_S_M1,WALK,TRUE,,,,2026-02-25T21:24:56.482Z,ACTIVE,,,,,,,
STR_C_MAIN_F0,ESC_C_F0,WALK,TRUE,,,,2026-02-25T21:25:07.215Z,ACTIVE,,,,,,,
STR_C_MAIN_F0,COR_PLZ_MAIN_S_M2,WALK,TRUE,,,,2026-02-25T21:26:47.897Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_S_M2,COR_PLZ_MAIN_S_M3,WALK,TRUE,,,,2026-02-25T21:27:19.948Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_S_M2,COR_PLZ_MAIN_S_M1,WALK,TRUE,,,,2026-02-25T21:27:26.717Z,ACTIVE,,,,,,,
ELV_C_F0,COR_PLZ_MAIN_S_M1,WALK,TRUE,,,,2026-02-25T21:27:32.036Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_S_M2,ESC_C_F0,WALK,TRUE,,,,2026-02-25T21:27:37.677Z,ACTIVE,,,,,,,
STR_C_MAIN_OUTSIDE_S_F0,COR_PLZ_MAIN_S_M1,WALK,TRUE,,,,2026-02-25T21:27:52.294Z,ACTIVE,,,,,,,
STR_C_MAIN_OUTSIDE_N_F0,COR_PLZ_MAIN_S_M2,WALK,TRUE,,,,2026-02-25T21:28:05.191Z,ACTIVE,,,,,,,
PLAY_KIDS_S_F0,SEATING_PLAY_KIDS_S_F0,WALK,TRUE,,,,2026-02-25T21:28:21.380Z,ACTIVE,,,,,,,
PLAY_KIDS_S_F0,COR_PLZ_CROSS_WE_W_M1,WALK,TRUE,,,,2026-02-25T21:28:26.825Z,ACTIVE,,,,,,,
COR_PLZ_CROSS_WE_W_M1,ATM2_F0,WALK,TRUE,,,,2026-02-25T21:28:33.259Z,ACTIVE,,,,,,,
SEATING_PLAY_KIDS_S_F0,COR_PLZ_MAIN_E_M3,WALK,TRUE,,,,2026-02-25T21:28:41.027Z,ACTIVE,,,,,,,
STR_C_F0,COR_PLZ_MAIN_E_M1,WALK,TRUE,,,,2026-02-25T21:28:54.643Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_E_M1,ESC_C_FC_F0,WALK,TRUE,,,,2026-02-25T21:29:01.914Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_F0,COR_PLZ_STAGE_W_F0,WALK,TRUE,,,,2026-02-25T21:29:18.186Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_W_F0,COR_PLZ_MAIN_N_M1,WALK,TRUE,,,,2026-02-25T21:29:26.845Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M1,COR_PLZ_MAIN_N_M2,WALK,TRUE,,,,2026-02-25T21:29:32.999Z,ACTIVE,,,,,,,
COR_PLZ_MAIN_N_M3,COR_PLZ_MAIN_N_M2,WALK,TRUE,,,,2026-02-25T21:30:09.294Z,ACTIVE,,,,,,,
