FROM;TO;MODE;BIDIRECTIONAL;WHEELCHAIR;STROLLER;LUGGAGE;CREATED;STATUS
COR_PLZ_W_N_F0;COR_PLZ_W_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_W_N_F0;COR_PLZ_W_E_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_W_S_F0;COR_PLZ_W_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_W_S_F0;COR_PLZ_W_W_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
COR_PLZ_W_W_F0;COR_PLZ_W_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;manual;OK
COR_PLZ_W_W_F0;COR_PLZ_W_N_F0;WALK;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ELV_C_B1;ELV_C_F0;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:05;OK
ELV_C_B1;ELV_C_F1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:05;OK
ELV_C_B1;NODE_PARKING_GARAGE_LVL_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:05;OK
ELV_C_F0;ELV_C_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:05;OK
ELV_C_F0;ELV_C_F1;ELEVATOR;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ELV_C_F0;ELV_C_F1;ELEVATOR;TRUE;TRUE;TRUE;TRUE;MANUAL;ACTIVE
ELV_C_F0;ESC_C_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:40;OK
ELV_C_F1;ELV_C_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:05;OK
ELV_N_F0;ELV_N_F1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:08;OK
ELV_N_F1;ELV_N_F0;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:08;OK
ELV_N_F1;ENT_N_MAIN;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:09;OK
ELV_W_B1;ELV_W_F0;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:11;OK
ELV_W_B1;NODE_PARKING_GARAGE_LVL_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:11;OK
ELV_W_F0;COR_EXT_W_S;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:14;OK
ELV_W_F0;ELV_W_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:11;OK
ELV_W_F0;STR_W_OUTSIDE_F0;ELEVATOR;TRUE;TRUE;TRUE;TRUE;09/02/2026 13:19;OK
ELV_W1_B1;ELV_W1_F0;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:21;OK
ELV_W1_B1;NODE_PARKING_GARAGE_LVL_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:21;OK
ELV_W1_B1;STR_WEST1_OUTSIDE_B1;ELEVATOR;TRUE;TRUE;TRUE;TRUE;09/02/2026 13:20;OK
ELV_W1_F0;COR_EXT_W_N;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:23;OK
ELV_W1_F0;ELV_W1_B1;ELEVATOR;FALSE;TRUE;TRUE;TRUE;06/02/2026 13:21;OK
